filename,chroma_stft,spectral_centroid,spec_bw,roll_off,zero_crossing_rate,p0,p1,p2,flat,contrast,rms
Adele_Million_Years_Ago_10.wav,0.2840730845928192,1233.384569166138,1875.793745405075,2535.3805022343026,0.036338782531927245,0.002977346717106007,0.004877548021286235,0.006342266653559315,0.0067528062500059605,23.2727128491764,0.0005058549197068931
Adele_Million_Years_Ago_10_music.wav,0.30887484550476074,489.7202667149525,831.1168907286113,807.2742851895075,0.020332832454527865,0.0014469981149401725,0.0027038002886767137,0.0037084559297281164,0.004448272753506899,26.15229143565257,0.0003344345012731603
Adele_Million_Years_Ago_10_vocals.wav,0.22837889194488525,2677.3761863053383,2280.534132951035,4915.2661113916165,0.14016600806646673,0.001518531794715308,0.0021726265145921406,0.0026423687956749053,0.08473235368728638,23.539980335193153,0.00025507728473389015
Adele_Skyfall_12.wav,0.2484276294708252,1266.1606515285696,1444.4890036427084,2470.7433930860584,0.056492099821013934,0.0013570654638353937,0.0021949680708991163,0.0026405010622313815,0.027004070580005646,23.30391288858421,0.00016594686341308263
Adele_Skyfall_12_accompaniment.wav,0.2557598948478699,841.6977118841555,881.3479335909178,1527.440763774671,0.04930336778008901,0.0009287343226876812,0.0016347300191914397,0.0020326610434389333,0.02455143630504608,23.395407602402557,0.0001206856685483103
Adele_Skyfall_12_vocals.wav,0.20775330066680908,2379.8340918536674,1652.227791895702,4140.762461375895,0.13176488728715172,0.0004490564128638974,0.0005976427580194669,0.0006556030045528361,0.5145200490951538,19.75065887655266,6.555474950740075e-05
Amrdiab_wahshteny_17.wav,0.3325963616371155,1921.0801911059261,2252.750902120965,4324.273851707624,0.06531517572078173,0.004092604620824154,0.005745998595635623,0.006967502090030936,0.014731255359947681,20.154971068175303,0.0004649172412150469
Amrdiab_wahshteny_music_17.wav,0.41342470049858093,1980.6381011026422,2319.871106196749,4465.564664008079,0.06420085895172213,0.002892016763285539,0.003955899480536693,0.004929767684902489,0.015498282387852669,20.56188636340779,0.00035776269842495954
Amrdiab_wahshteny_vocals_17.wav,0.29372385144233704,2634.7406360186724,1874.627575223509,4413.827476855771,0.18077781842589008,0.001153431807244821,0.0017517588939520378,0.001998519266054268,0.3816215991973877,21.070165606340165,0.0001874253916518199
Amrdiab_zaymanti_17.wav,0.2731829285621643,1853.8923829240457,2264.8537758571338,4209.507879015093,0.07047897669553019,0.004505546970095507,0.006587926075065887,0.007739371352374132,0.012431974522769451,20.028167459069333,0.0004732503783207365
